,team1,team2,date,time,city,stadium,referee,attendance,possesion_team1,possesion_team2,goal_total_team1,goal_total_team2,goal_conceded_team1,goal_conceded_team2,goal_inside_penalty_area_team1,goal_inside_penalty_area_team2,goal_outside_penalty_area_team1,goal_outside_penalty_area_team2,goal_assists_team1,goal_assists_team2,attempts_total_team1,attempts_total_team2,attempts_on_target_team1,attempts_on_target_team2,attempts_off_target_team1,attempts_off_target_team2,attempts_inside_penalty_area_team1,attempts_inside_penalty_area_team2,attempts_outside_penalty_area_team1,attempts_outside_penalty_area_team2,final_third_entries_left_channel_team1,final_third_entries_left_channel_team2,final_third_entries_left_inside_channel_team1,final_third_entries_left_inside_channel_team2,final_third_entries_central_channel_team1,final_third_entries_central_channel_team2,final_third_entries_right_inside_channel_team1,final_third_entries_right_inside_channel_team2,final_third_entries_right_channel_team1,final_third_entries_right_channel_team2,offers_total_team1,offers_total_team2,offers_in_behind_team1,offers_in_behind_team2,offers_in_between_team1,offers_in_between_team2,offers_in_front_team1,offers_in_front_team2,receptions_between_midfield_and_defensive_lines_team1,receptions_between_midfield_and_defensive_lines_team2,receptions_behind_defensive_line_team1,receptions_behind_defensive_line_team2,line_breaks_attempted_team1,line_breaks_attempted_team2,line_breaks_completed_team1,line_breaks_completed_team2,line_breaks_attempted_defensive_team1,line_breaks_attempted_defensive_team2,line_breaks_completed_defensive_team1,line_breaks_completed_defensive_team2,yellow_cards_team1,yellow_card_team2,red_cards_team1,red_cards_team2,fouls_team1,fouls_team2,offsides_team1,offsides_team2,passes_team1,passes_team2,passes_completed_team1,passes_completed_team2,crosses_team1,crosses_team2,crosses_completed_team1,crosses_completed_team2,switches_of_play_completed_team1,switches_of_play_completed_team2,corners_team1,corners_team2,free_kicks_team1,free_kicks_team2,penalties_scored_team1,penalties_scored_team2,goal_preventions_team1,goal_preventions_team2,own_goals_team1,own_goals_team2,forced_turnovers_team1,forced_turnovers_team2,defensive_pressures_applied_team1,defensive_pressures_applied_team2
20,Tunisia,Australia,26 November 2022, 12:00,Al Wakrah,Al Janoub Stadium,Daniel SIEBERT,41823,50%,31%,0,1,1,0,0,1,0,0,0,1,13,8,4,2,5,3,9,5,4,3,12,11,8,3,7,4,6,7,11,19,710,342,166,108,291,120,253,114,89,111,13,8,200,171,109,91,23,19,11,10,3,0,0,0,16,15,3,0,501,334,396,239,23,23,5,4,6,2,5,2,15,19,0,0,9,13,0,0,81,88,217,273
21,Poland,Saudi Arabia,26 November 2022, 15:00,Doha,Education City Stadium,Wilton SAMPAIO,44259,30%,57%,2,0,0,2,2,0,0,0,1,0,8,16,3,5,3,9,8,9,0,7,7,21,2,6,4,5,8,7,13,15,428,661,140,156,164,264,124,241,95,119,14,22,150,205,84,153,22,27,12,19,3,2,0,0,18,15,0,0,303,560,236,494,19,24,8,4,5,13,4,5,15,17,0,0,16,9,0,0,69,53,329,173
22,France,Denmark,26 November 2022, 18:00,Doha,Stadium 974,Szymon MARCINIAK,42860,44%,44%,2,1,1,2,2,1,0,0,2,1,21,10,6,2,8,6,16,5,5,5,15,13,7,5,4,3,1,4,13,25,630,615,111,171,226,268,293,176,105,105,11,17,155,173,105,132,16,23,12,15,1,2,0,0,4,9,1,1,503,537,437,473,23,18,12,4,7,14,6,4,10,5,0,0,10,21,0,0,79,61,269,282
23,Argentina,Mexico,26 November 2022, 21:00,Al Daayen,Lusail Stadium,Daniele Orsato,88966,50%,36%,2,0,0,2,1,0,1,0,2,0,5,4,2,1,3,2,2,1,3,3,10,8,6,1,2,1,4,2,12,11,569,373,103,78,244,151,222,144,89,52,2,5,150,127,100,66,10,13,5,5,1,4,0,0,15,19,2,4,533,356,464,287,14,17,2,4,3,2,4,2,23,17,0,0,4,5,0,0,63,79,220,327
24,Japan,Costa Rica,27 November 2022, 12:00,Ar-Rayyan,Ahmad Bin Ali Stadium,Michael Oliver,41479,48%,39%,0,1,1,0,0,1,0,0,0,1,14,4,3,1,4,1,7,1,7,3,28,8,6,0,9,3,3,1,10,4,699,429,176,77,255,177,268,175,106,58,5,1,158,154,95,85,22,4,7,0,3,3,0,0,22,9,0,2,575,444,510,371,17,5,1,0,2,7,5,0,11,22,0,0,4,14,0,0,47,66,300,294
25,Belgium,Morocco,27 November 2022, 15:00,Doha,Al Thumama Stadium,César Arturo Ramos Palazuelos,43738,56%,32%,0,2,2,0,0,2,0,0,0,2,10,11,4,4,6,6,5,6,5,5,12,10,8,3,3,2,4,1,9,11,732,441,144,109,211,173,377,159,102,54,4,7,149,125,104,89,13,11,3,8,1,1,0,0,10,14,3,3,671,317,598,275,19,9,3,4,6,10,9,1,17,13,0,0,11,10,0,0,38,78,194,360
26,Croatia,Canada,27 November 2022, 18:00,Ar-Rayyan,Khalifa International Stadium,Andres Matias MATONTE CABRERA,44374,41%,46%,4,1,1,4,3,1,1,0,4,1,13,9,10,2,2,3,9,2,4,7,7,8,3,4,3,3,3,4,3,13,573,592,113,121,256,247,204,224,119,96,15,6,193,201,124,134,24,15,10,6,2,2,0,0,13,5,1,3,462,511,391,434,22,15,5,5,6,7,5,2,8,14,0,0,9,13,0,0,87,72,347,316
27,Spain,Germany,27 November 2022, 21:00,Al Khor,Al Bayt Stadium,Danny Desmond Makkelie,68895,56%,33%,1,1,1,1,1,1,0,0,1,1,7,10,3,4,4,5,3,7,4,3,12,3,3,3,2,4,1,3,5,8,633,440,90,108,270,177,273,155,115,95,16,9,186,143,146,83,19,17,13,7,1,3,0,0,13,11,2,5,647,352,565,281,9,13,2,1,9,2,6,5,16,15,0,0,11,7,0,0,79,101,275,387
28,Cameroon,Serbia,28 November 2022, 12:00,Al Wakrah,Al Janoub Stadium,Mohammed ABDULLA,39789,38%,49%,3,3,3,3,3,2,0,1,3,3,13,16,8,6,3,8,9,11,4,5,5,20,3,4,5,16,4,5,15,12,419,583,103,124,149,261,167,198,80,140,15,11,173,184,78,122,22,22,12,12,2,2,0,0,8,13,0,4,364,513,271,433,20,23,1,4,5,5,4,3,17,8,0,0,16,13,0,0,83,81,285,234
29,Korea Republic,Ghana,28 November 2022, 15:00,Doha,Education City Stadium,Anthony Taylor,43983,53%,32%,2,3,3,2,2,3,0,0,2,2,21,8,6,3,8,3,15,7,6,1,22,8,5,3,6,4,8,3,27,7,695,389,175,72,234,157,286,160,119,56,19,5,201,122,148,66,24,12,19,5,2,2,0,0,13,9,1,1,540,319,477,260,46,13,16,4,16,3,12,5,10,14,0,0,8,21,0,0,53,75,220,324
30,Brazil,Switzerland,28 November 2022, 18:00,Doha,Stadium 974,Ivan Arcides Barton Cisneros,43649,51%,40%,1,0,0,1,1,0,0,0,1,0,9,4,5,0,2,1,6,2,3,2,19,7,12,3,5,4,5,6,11,10,659,568,154,128,218,212,287,228,99,86,16,4,164,173,114,100,20,17,11,4,1,1,0,0,10,17,3,1,565,488,498,415,26,11,3,3,6,2,8,3,18,13,0,0,4,9,0,0,85,80,282,344
31,Portugal,Uruguay,28 November 2022, 21:00,Al Daayen,Lusail Stadium,Alireza FAGHANI,88668,53%,35%,2,0,0,2,1,0,1,0,0,0,14,10,4,3,7,6,4,6,10,4,17,13,9,8,4,4,9,5,11,9,752,413,142,115,327,155,283,143,127,94,11,6,170,150,112,86,11,17,7,11,3,2,0,0,10,16,2,0,596,390,517,306,16,18,4,5,9,2,6,2,15,13,1,0,11,14,0,0,68,81,226,362
32,Netherlands,Qatar,29 November 2022, 17:00,Al Khor,Al Bayt Stadium,Bakary GASSAMA,66784,54%,38%,2,0,0,2,2,0,0,0,1,0,13,6,4,4,5,2,10,2,3,4,25,10,9,7,8,5,11,4,21,6,785,574,157,100,322,245,306,229,142,92,16,11,185,161,165,107,13,15,10,10,1,0,0,0,19,9,4,0,795,459,740,394,11,16,1,4,1,10,4,2,9,24,0,0,5,14,0,0,62,52,319,322
33,Ecuador,Senegal,29 November 2022, 17:00,Ar-Rayyan,Khalifa International Stadium,Clément Turpin,44569,51%,32%,1,2,2,1,1,2,0,0,1,0,8,15,4,5,3,8,5,11,3,4,13,14,3,0,1,2,6,7,6,10,453,268,83,76,174,115,196,77,82,80,2,12,146,153,77,84,10,20,2,12,0,1,0,0,23,11,0,3,432,269,353,198,19,20,6,5,1,6,3,6,14,22,0,1,15,8,0,0,59,62,190,243
34,Wales,England,29 November 2022, 21:00,Ar-Rayyan,Ahmad Bin Ali Stadium,Slavko VINCIC,44297,33%,58%,0,3,3,0,0,2,0,1,0,2,7,17,1,7,3,6,1,13,6,4,7,10,1,4,2,7,0,12,4,9,388,777,71,140,138,310,179,327,46,97,1,9,104,167,55,131,4,13,1,8,2,0,0,0,16,9,1,1,325,588,261,529,4,17,1,7,1,6,1,6,10,17,0,0,17,8,0,0,49,56,328,167
35,Iran,United States,29 November 2022, 21:00,Doha,Al Thumama Stadium,Antonio MATEU,42127,42%,45%,0,1,1,0,0,1,0,0,0,1,6,12,2,5,4,4,5,8,1,4,12,11,2,7,5,7,3,5,4,17,492,697,94,133,223,262,175,302,77,117,9,17,195,185,102,133,23,27,8,16,3,1,0,0,13,10,2,1,463,470,379,413,18,22,3,2,11,8,1,5,11,15,0,0,13,6,0,0,63,74,295,302
36,Australia,Denmark,30 November 2022, 17:00,Al Wakrah,Al Janoub Stadium,Mustapha Ghorbal,41232,24%,60%,1,0,0,1,1,0,0,0,1,0,8,14,4,3,2,7,3,11,5,3,9,27,2,5,2,4,1,6,11,19,302,640,88,146,114,259,100,235,93,130,8,17,166,241,81,172,17,21,7,17,2,1,0,0,11,10,1,3,286,650,187,567,11,32,2,5,1,9,2,6,13,12,0,0,14,8,0,0,90,74,341,161
37,Tunisia,France,30 November 2022, 17:00,Doha,Education City Stadium,Matthew CONGER,43627,30%,56%,1,0,0,1,0,0,1,0,1,0,5,9,3,3,2,4,2,4,3,5,11,14,3,6,4,5,0,3,10,21,381,630,99,96,175,212,107,322,95,101,9,11,153,138,96,99,21,10,7,4,1,0,0,0,14,6,3,2,328,636,266,566,27,20,4,5,4,3,7,8,8,17,0,0,11,6,0,0,68,80,400,202
38,Poland,Argentina,30 November 2022, 21:00,Doha,Stadium 974,Danny Desmond Makkelie,44089,24%,67%,0,2,2,0,0,2,0,0,0,2,4,25,0,13,2,8,2,21,2,4,6,25,2,8,1,7,2,10,3,26,328,907,62,175,126,282,140,450,44,153,2,21,117,214,66,188,5,25,1,19,1,1,0,0,6,11,0,0,321,862,261,814,5,22,2,5,8,11,1,9,12,5,0,0,25,4,0,0,67,48,438,141
39,Saudi Arabia,Mexico,30 November 2022, 21:00,Al Daayen,Lusail Stadium,Michael Oliver,84985,29%,55%,1,2,2,1,1,1,0,1,1,1,10,25,2,10,8,8,6,10,4,15,5,16,3,5,4,3,3,7,11,16,337,492,100,194,162,158,75,140,95,119,6,17,178,198,86,121,17,33,5,16,6,1,0,0,20,18,2,6,297,412,197,336,9,34,2,6,1,4,1,8,23,22,0,0,26,10,0,0,82,76,269,229
